ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-198369,MapQuest,201.0,2,2016-12-30 06:50:16,2016-12-30 07:34:29,40.753822,-74.998184,0.0,Accident on County Hwy-623 Brass Castle Rd both ways between County Hwy-628 Kinnaman Ave and NJ-57 Washington Gdns.,Brass Castle Rd,R,Washington,07882-4313,US,US/Eastern,KSMQ,2016-12-30 06:53:00,35.1,32.2,64.0,29.61,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-199804,MapQuest,201.0,2,2017-01-11 06:51:01,2017-01-11 07:20:22,40.759415000000004,-74.975021,0.01,Accident on NJ-31 Southbound after NJ-57 Washington Ave.,State Route 31 N,R,Washington,07882,US,US/Eastern,KSMQ,2017-01-11 06:53:00,37.9,,86.0,30.26,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-199906,MapQuest,201.0,2,2017-01-11 10:50:24,2017-01-11 11:20:06,40.763335999999995,-74.977425,0.01,Accident on NJ-31 Northbound near Jackson Ave.,State Route 31 N,L,Washington,07882-1530,US,US/Eastern,KSMQ,2017-01-11 10:53:00,46.0,,71.0,30.34,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-200169,MapQuest,201.0,2,2017-01-13 07:03:24,2017-01-13 07:33:11,40.765846,-74.94136,0.01,Accident on NJ-57 near Domin Ln.,Domin Ln,L,Washington,07882,US,US/Eastern,KSMQ,2017-01-13 07:08:00,48.9,,69.0,30.31,10.0,NNW,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-201095,MapQuest,201.0,2,2017-01-20 11:35:07,2017-01-20 12:04:02,40.77969,-74.975533,0.0,Accident on County Hwy-628 Jackson Valley Rd near NJ-31.,Jackson Valley Rd,L,Washington,07882-1516,US,US/Eastern,KSMQ,2017-01-20 11:53:00,44.1,39.5,71.0,29.98,10.0,South,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-202181,MapQuest,201.0,2,2016-10-21 14:24:30,2016-10-21 15:09:12,41.640766,-73.319008,0.01,Accident on CT-109 Calhoun St Northbound near CT-47 Green Hill Rd.,Green Hill Rd,L,Washington,06793-1216,US,US/Eastern,KOXC,2016-10-21 14:16:00,69.8,,83.0,29.67,3.0,South,10.4,,Light Rain,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-203071,MapQuest,201.0,3,2016-10-31 06:09:42,2016-10-31 06:39:02,40.722248,-74.971558,0.48,Accident on NJ-31 Southbound between Rymon Rd and County Hwy-632 Asbury Anderson Rd.,E Asbury Anderson Rd,R,Washington,07882-4040,US,US/Eastern,KSMQ,2016-10-31 05:53:00,48.0,,61.0,30.1,10.0,North,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-203765,MapQuest,203.0,2,2016-11-04 06:28:54,2016-11-04 06:56:37,40.729003999999996,-74.973541,0.01,Multi-vehicle accident on NJ-31 Southbound at Rymon Rd.,Rymon Rd,L,Washington,07882-4035,US,US/Eastern,KSMQ,2016-11-04 06:53:00,48.9,,69.0,30.08,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-207239,MapQuest,201.0,2,2016-11-28 08:49:47,2016-11-28 09:19:33,40.764267,-74.952011,0.0,Accident on Butlers Park Rd at NJ-57.,State Route 57 E,R,Washington,07882-2424,US,US/Eastern,KSMQ,2016-11-28 08:53:00,30.9,,82.0,30.22,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-212059,MapQuest,201.0,2,2016-10-18 05:56:17,2016-10-18 06:40:48,40.764267,-74.952011,0.01,Accident and injured animal on road on NJ-57 both ways at Butlers Park Rd.,State Route 57 E,R,Washington,07882-2424,US,US/Eastern,KSMQ,2016-10-18 05:53:00,52.0,,93.0,29.91,7.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-214188,MapQuest,201.0,2,2016-08-18 08:44:47,2016-08-18 09:29:47,40.77969,-74.975533,0.0,Accident on NJ-31 both ways at County Hwy-628 Jackson Valley Rd.,Jackson Valley Rd,L,Washington,07882-1516,US,US/Eastern,KSMQ,2016-08-18 08:53:00,71.1,,87.0,30.02,9.0,North,3.5,0.05,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-214697,MapQuest,201.0,2,2016-08-23 07:51:04,2016-08-23 08:21:04,40.729003999999996,-74.973541,0.0,Accident on NJ-31 both ways near Rymon Rd.,Rymon Rd,L,Washington,07882-4035,US,US/Eastern,KSMQ,2016-08-23 07:53:00,57.9,,84.0,30.31,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-215558,MapQuest,201.0,2,2016-08-31 07:32:17,2016-08-31 08:02:17,40.755328999999996,-74.97500600000001,0.0,Accident on NJ-31 both ways between NJ-57 Washington Ave and Upper Park Dr.,State Route 31 S,R,Washington,07882,US,US/Eastern,KSMQ,2016-08-31 07:13:00,71.1,,90.0,30.01,7.0,North,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-215773,MapQuest,201.0,2,2016-09-01 10:45:18,2016-09-01 11:15:18,40.751059999999995,-74.978699,0.0,Accident on Lincoln Ave both ways at Washburn Ave.,Washburn Ave,R,Washington,07882-2328,US,US/Eastern,KSMQ,2016-09-01 10:53:00,73.0,,87.0,29.85,6.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-217751,MapQuest,202.0,2,2016-06-29 07:12:09,2016-06-29 08:12:09,40.729321,-74.97425799999999,0.0,Serious accident on County Hwy-634 Franklin Rd both ways at Rymon Rd.,Rymon Rd,L,Washington,07882-4035,US,US/Eastern,KSMQ,2016-06-29 07:04:00,64.9,,97.0,29.88,3.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-228627,MapQuest,201.0,2,2016-11-30 20:35:42,2016-11-30 21:05:21,38.888493,-77.05233,0.01,Accident on Lincoln Memorial Cir near Ohio Dr.,Ohio Dr SW,R,Washington,20024,US,US/Eastern,KDCA,2016-11-30 20:52:00,59.0,,93.0,29.6,10.0,NE,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-228647,MapQuest,201.0,2,2016-12-01 05:29:50,2016-12-01 06:16:06,38.902522999999995,-77.00904799999999,0.01,Right lane blocked due to accident on Capitol St Southbound at N Capitol St.,N Capitol St NE,L,Washington,20002-4684,US,US/Eastern,KDCA,2016-12-01 05:52:00,54.0,,62.0,29.71,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-228651,MapQuest,203.0,2,2016-12-01 06:03:47,2016-12-01 06:48:16,38.902363,-76.943741,0.01,Two left lane closed due to multi-vehicle accident on DC-295 Kenilworth Ave Southbound at Nannie Helen Burroughs Ave.,Nannie Helen Burroughs Ave NE,L,Washington,20019,US,US/Eastern,KWBC,2016-12-01 06:19:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-228655,MapQuest,201.0,2,2016-12-01 06:20:45,2016-12-01 07:04:52,38.882065000000004,-77.027855,0.01,Right lane closed due to accident on Southwest Fwy Eastbound near Maine St.,12th St SW,R,Washington,20024,US,US/Eastern,KDCA,2016-12-01 05:52:00,54.0,,62.0,29.71,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-228687,MapQuest,201.0,2,2016-12-01 07:32:10,2016-12-01 08:16:08,38.961742,-77.042847,0.01,Left lane closed due to accident on Military Rd Westbound at 16th St.,Military Rd NW,R,Washington,20012,US,US/Eastern,KCGS,2016-12-01 07:27:00,50.0,,58.0,29.74,10.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-228695,MapQuest,201.0,2,2016-12-01 07:47:34,2016-12-01 08:16:42,38.929035,-77.073746,0.01,Left lane blocked due to accident on Massachusetts Ave Westbound at Cathedral Ave.,Cathedral Ave NW,R,Washington,20016,US,US/Eastern,KDCA,2016-12-01 07:52:00,53.1,,59.0,29.77,10.0,NW,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-228720,MapQuest,201.0,2,2016-12-01 08:45:49,2016-12-01 09:30:24,38.962536,-77.03643000000001,0.01,Accident on Military Rd at 16th St.,16th St NW,R,Washington,20011-2862,US,US/Eastern,KCGS,2016-12-01 08:47:00,50.0,,54.0,29.78,10.0,WNW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-228795,MapQuest,203.0,2,2016-12-01 15:40:43,2016-12-01 16:09:58,38.940205,-77.083946,0.01,Restrictions due to multi-vehicle accident on Nebraska Ave in Washington.,Nebraska Ave NW,L,Washington,20016-2730,US,US/Eastern,KDCA,2016-12-01 15:52:00,55.0,,43.0,29.83,10.0,NNW,16.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-228887,MapQuest,201.0,2,2016-12-02 07:16:21,2016-12-02 07:58:21,38.94825,-77.429764,0.01,Accident on VA-28 Sully Rd at Frying Pan Rd.,Frying Pan Rd,R,Washington,20041,US,US/Eastern,KIAD,2016-12-02 06:52:00,41.0,38.0,55.0,30.05,10.0,WNW,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-228972,MapQuest,201.0,2,2016-12-02 11:37:47,2016-12-02 12:22:19,38.875252,-76.97483100000001,0.01,Left lane closed due to accident on DC-295 Anacostia Fwy Northbound at Exit 1A Pennsylvania Ave.,Anacostia Fwy S,R,Washington,20020,US,US/Eastern,KWBC,2016-12-02 12:00:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229230,MapQuest,201.0,2,2016-12-05 06:50:16,2016-12-05 07:35:04,38.894791,-77.01409100000001,0.01,Accident on I-395 Eastbound at Exits 9 10 D St.,I-395 N,R,Washington,20001,US,US/Eastern,KDCA,2016-12-05 06:52:00,42.1,38.4,96.0,30.01,10.0,SW,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-229269,MapQuest,201.0,2,2016-12-05 08:01:24,2016-12-05 08:45:34,38.877796000000004,-76.979912,0.01,Left lane closed due to accident on Pennsylvania Ave Inbound after Sousa Bridge.,Pennsylvania Ave SE,R,Washington,20003,US,US/Eastern,KDCA,2016-12-05 07:52:00,43.0,40.3,93.0,30.01,10.0,SW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229280,MapQuest,244.0,3,2016-12-05 08:15:39,2016-12-05 09:00:02,38.822533,-77.01664,0.01,Shoulder blocked due to accident on I-295 Southbound at Laboratory Rd.,Laboratory Rd SE,R,Washington,20032,US,US/Eastern,KDCA,2016-12-05 08:20:00,43.0,39.5,89.0,30.03,10.0,WSW,5.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229347,MapQuest,201.0,2,2016-12-05 11:05:43,2016-12-05 11:50:24,38.917328000000005,-76.972557,0.01,Accident on US-50 New York Ave at US-1 Alt Bladensburg Rd.,New York Ave NE,R,Washington,20002,US,US/Eastern,KDCA,2016-12-05 10:52:00,46.9,,83.0,30.04,10.0,Variable,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-229403,MapQuest,201.0,3,2016-12-05 15:33:42,2016-12-05 16:03:14,38.879242,-77.035889,0.57,Right lane closed and right hand shoulder closed due to accident on I-395 Northbound between Exits 10B 10C George Washington Memorial Pkwy and Exits 1 2 US-1 14th St.,US-1 N,R,Washington,20024,US,US/Eastern,KDCA,2016-12-05 15:52:00,55.0,,51.0,30.04,10.0,North,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229407,MapQuest,201.0,2,2016-12-05 15:47:26,2016-12-05 16:17:26,38.851760999999996,-77.004395,0.0,Accident on Ash St at Access Rd.,Access Rd,R,Washington,20032,US,US/Eastern,KDCA,2016-12-05 15:52:00,55.0,,51.0,30.04,10.0,North,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229414,MapQuest,201.0,3,2016-12-05 16:04:34,2016-12-05 16:34:05,38.869469,-76.988632,0.01,Right lane blocked due to accident on I-295 Southbound at Exits 5A 5B I-695.,11th St SE,R,Washington,20020,US,US/Eastern,KWBC,2016-12-05 16:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-229526,MapQuest,201.0,2,2016-12-06 07:32:53,2016-12-06 08:17:19,38.917328000000005,-76.972557,0.01,Right lane closed due to accident on Bladensburg Rd Southbound at New York Ave.,New York Ave NE,R,Washington,20002,US,US/Eastern,KDCA,2016-12-06 07:52:00,44.1,41.5,65.0,30.12,10.0,ENE,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-229731,MapQuest,201.0,2,2016-12-07 05:48:03,2016-12-07 06:32:24,38.908909,-77.00458499999999,0.01,Right lane closed due to accident on US-50 New York Ave Inbound at Florida Ave.,Florida Ave NE,R,Washington,20002,US,US/Eastern,KDCA,2016-12-07 05:52:00,44.1,41.5,89.0,29.97,10.0,North,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-229820,MapQuest,201.0,2,2016-12-07 08:30:37,2016-12-07 09:15:26,38.927025,-77.00634000000001,0.01,Accident on Michigan Ave at Franklin St.,Michigan Ave NE,L,Washington,20017,US,US/Eastern,KCGS,2016-12-07 08:23:00,42.8,41.1,81.0,30.02,10.0,NW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-229971,MapQuest,201.0,2,2016-12-07 18:44:35,2016-12-07 19:14:03,38.861571999999995,-76.998871,0.0,Accident on Firth Sterling Ave at Sumner Rd.,Sumner Rd SE,R,Washington,20020,US,US/Eastern,KWBC,2016-12-07 19:00:00,,,,,,North,,,,False,False,True,False,False,False,True,False,False,False,False,False,False,Night,Night,Night,Night
A-230033,MapQuest,201.0,2,2016-12-08 07:03:21,2016-12-08 07:47:21,38.892029,-77.060959,0.01,Left lane closed due to accident on George Washington Memorial Pkwy Northbound near Roosevelt Bridge.,Theodore Roosevelt Memorial Brg E,R,Washington,20037,US,US/Eastern,KDCA,2016-12-08 06:52:00,42.1,40.2,73.0,30.05,10.0,NE,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-230183,MapQuest,201.0,2,2016-12-08 18:21:42,2016-12-08 18:51:42,38.934115999999996,-77.42971800000001,0.01,Accident on VA-28 Sully Rd Northbound at McLearen Rd.,Sully Rd N,R,Washington,20041,US,US/Eastern,KIAD,2016-12-08 17:52:00,39.0,31.4,38.0,30.1,10.0,WNW,12.7,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-230478,MapQuest,201.0,3,2016-12-12 06:17:47,2016-12-12 07:01:32,38.891773,-77.06427,0.01,Right lane blocked due to accident on I-66 Westbound after Roosevelt Bridge.,I-66 W,R,Washington,20037,US,US/Eastern,KDCA,2016-12-12 06:05:00,42.1,35.7,100.0,29.93,7.0,South,11.5,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-230500,MapQuest,241.0,3,2016-12-12 07:13:59,2016-12-12 07:57:55,38.869717,-76.988029,0.01,Lane blocked due to accident on I-295 Inbound before 11th St Bridge.,Anacostia Fwy S,R,Washington,20020,US,US/Eastern,KWBC,2016-12-12 07:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-230675,MapQuest,201.0,2,2016-12-13 06:01:09,2016-12-13 06:30:54,38.889317,-76.959663,0.01,Accident on DC-295 Anacostia Fwy Southbound at Capitol St.,Anacostia Fwy S,R,Washington,20019,US,US/Eastern,KWBC,2016-12-13 06:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-230714,MapQuest,201.0,3,2016-12-13 07:48:26,2016-12-13 08:32:37,38.882214000000005,-77.028603,0.01,Left lane blocked due to accident on I-395 Eastbound near Maine Ave.,I-395 S,R,Washington,20024,US,US/Eastern,KDCA,2016-12-13 07:52:00,39.9,35.8,65.0,30.19,10.0,East,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-230729,MapQuest,201.0,2,2016-12-13 08:18:18,2016-12-13 09:02:04,38.939503,-76.98011,0.11,Accident on Dakota Ave Westbound from Taylor St to Shepherd St. Police directing traffic.,S Dakota Ave NE,R,Washington,20018-3253,US,US/Eastern,KCGS,2016-12-13 08:20:00,33.8,,87.0,30.19,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-230870,MapQuest,201.0,3,2016-12-13 20:08:37,2016-12-13 20:38:01,38.882214000000005,-77.028603,1.32,Left lane closed and left hand shoulder closed due to accident on I-395 Northbound between Exits 8C 9 10A 10A-B US-1 and Exits 3 4 G St.,I-395 S,R,Washington,20024,US,US/Eastern,KDCA,2016-12-13 19:52:00,43.0,38.8,65.0,30.05,10.0,South,6.9,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-230888,MapQuest,201.0,2,2016-12-14 05:56:42,2016-12-14 06:41:00,38.852965999999995,-76.984245,0.01,Accident on Suitland Pkwy Inbound at Stanton Rd.,Suitland Pkwy E,R,Washington,20020,US,US/Eastern,KWBC,2016-12-14 05:08:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-230975,MapQuest,201.0,2,2016-12-14 09:52:28,2016-12-14 11:22:28,38.918259,-77.429932,0.01,Accident on VA-28 Sully Rd Northbound at Air and Space Museum Pkwy.,Sully Rd N,R,Washington,20041,US,US/Eastern,KIAD,2016-12-14 09:52:00,41.0,32.2,55.0,30.12,10.0,NW,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231106,MapQuest,241.0,3,2016-12-14 20:14:37,2016-12-14 20:44:02,38.845093,-77.007225,0.01,Lane blocked due to accident on I-295 Northbound at Exit 2 Malcolm X Ave.,I-295 N,R,Washington,20032,US,US/Eastern,KDCA,2016-12-14 19:52:00,42.1,,49.0,29.99,10.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-231118,MapQuest,201.0,2,2016-12-15 04:37:52,2016-12-15 05:21:49,38.959602000000004,-77.006996,0.01,Accident on 1st St at McDonald Pl.,New Hampshire Ave NE,R,Washington,20011-2337,US,US/Eastern,KCGS,2016-12-15 04:43:00,32.0,20.5,48.0,29.91,10.0,NW,18.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-231159,MapQuest,201.0,2,2016-12-15 08:04:03,2016-12-15 08:48:38,38.889866,-76.958496,0.01,Accident on DC-295 Anacostia Fwy at Capitol St.,E Capitol St NE,R,Washington,20019,US,US/Eastern,KWBC,2016-12-15 08:00:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231184,MapQuest,201.0,2,2016-12-15 08:46:46,2016-12-15 09:31:06,38.96542,-77.036362,0.01,Accident on 16th St Southbound near Rittenhouse St.,16th St NW,R,Washington,20011-1702,US,US/Eastern,KCGS,2016-12-15 08:43:00,26.6,12.4,26.0,30.08,10.0,WNW,21.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231359,MapQuest,201.0,2,2016-12-16 07:24:06,2016-12-16 08:08:34,38.895664000000004,-76.95174399999999,0.01,Left lane blocked due to accident on DC-295 Anacostia Fwy Southbound at Benning Rd.,Kenilworth Ave S,R,Washington,20019,US,US/Eastern,KWBC,2016-12-16 07:38:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231370,MapQuest,201.0,2,2016-12-16 07:52:42,2016-12-16 08:37:14,38.889317,-76.959663,0.01,Right lane closed due to accident on DC-295 Anacostia Fwy Southbound after Capitol St.,Anacostia Fwy S,R,Washington,20019,US,US/Eastern,KWBC,2016-12-16 07:44:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231394,MapQuest,201.0,3,2016-12-16 08:37:13,2016-12-16 09:20:52,38.892016999999996,-77.06111899999999,0.01,Right lane closed due to accident on I-66 Inbound at Roosevelt Bridge.,US-50 W,R,Washington,20037,US,US/Eastern,KDCA,2016-12-16 08:52:00,21.0,8.6,33.0,30.5,10.0,North,12.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231400,MapQuest,201.0,3,2016-12-16 08:54:43,2016-12-16 09:39:01,38.882236,-77.01166500000001,0.01,Accident on I-695 Southwest Fwy Westbound after 3rd St Tunnel.,Southwest Fwy N,R,Washington,20024,US,US/Eastern,KDCA,2016-12-16 08:52:00,21.0,8.6,33.0,30.5,10.0,North,12.7,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231658,MapQuest,241.0,2,2016-12-19 06:46:10,2016-12-19 07:30:51,38.936316999999995,-77.024292,0.01,Lane blocked due to accident on US-29 Georgia Ave Southbound at New Hampshire Ave.,Rock Creek Church Rd NW,R,Washington,20010,US,US/Eastern,KDCA,2016-12-19 06:52:00,32.0,23.0,56.0,30.69,10.0,North,11.5,,Mostly Cloudy,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
